,ID_ALUNO,CODIGO_IES,CODIGO_CURSO,RACA,PAIS_ORIGEM,GENERO
0,1,1,1,Parda,Brasil,Masculino
1,2,1,1,Parda,Brasil,Feminino
2,3,1,1,Parda,Brasil,Masculino
3,4,1,1,Parda,Brasil,Masculino
4,5,1,1,Branca,Brasil,Masculino
5,6,1,1,Parda,Brasil,Masculino
6,7,1,1,Parda,Brasil,Feminino
7,8,1,1,Preta,Brasil,Masculino
8,9,1,2,Parda,Brasil,Masculino
9,10,1,2,Preta,Brasil,Masculino
10,11,1,3,Parda,Brasil,Masculino
11,12,1,3,Parda,Brasil,Feminino
12,13,1,6,Branca,Brasil,Feminino
13,14,1,6,Branca,Brasil,Masculino
14,15,1,6,Parda,Brasil,Feminino
15,16,1,6,Parda,Brasil,Masculino
16,17,1,6,Branca,Brasil,Feminino
17,18,1,6,Parda,Brasil,Feminino
18,19,1,6,Branca,Brasil,Feminino
19,20,1,6,Parda,Brasil,Feminino
20,21,1,7,Parda,Brasil,Feminino
21,22,1,7,Parda,Brasil,Masculino
22,23,1,7,Parda,Brasil,Feminino
23,24,1,7,Parda,Brasil,Feminino
24,25,1,8,Parda,Brasil,Masculino
25,26,1,8,Branca,Brasil,Feminino
26,27,1,9,Branca,Brasil,Feminino
27,28,1,9,Parda,Brasil,Masculino
28,29,1,9,Branca,Brasil,Masculino
29,30,1,10,Preta,Brasil,Feminino
30,31,1,10,Branca,Brasil,Feminino
31,32,1,12,Preta,Brasil,Feminino
32,33,1,12,Parda,Brasil,Feminino
33,34,1,12,Parda,Brasil,Masculino
34,35,1,12,Branca,Brasil,Masculino
35,36,1,12,Preta,Brasil,Masculino
36,37,1,12,Parda,Brasil,Feminino
37,38,1,12,Parda,Brasil,Masculino
38,39,1,12,Parda,Brasil,Feminino
39,40,1,12,Parda,Brasil,Masculino
40,41,1,12,Branca,Brasil,Masculino
41,42,1,12,Branca,Brasil,Masculino
42,43,1,12,Parda,Brasil,Feminino
43,44,1,13,Parda,Brasil,Feminino
44,45,1,13,Parda,Brasil,Feminino
45,46,1,13,Parda,Brasil,Feminino
46,47,1,16,Branca,Brasil,Feminino
47,48,1,16,Parda,Brasil,Feminino
48,49,1,16,Parda,Brasil,Masculino
49,50,1,16,Parda,Brasil,Feminino
50,51,1,16,Parda,Brasil,Masculino
51,52,1,17,Branca,Brasil,Feminino
52,53,1,19,Preta,Brasil,Masculino
53,54,1,20,Preta,Brasil,Masculino
54,55,1,20,Parda,Brasil,Feminino
55,56,1,21,Branca,Brasil,Masculino
56,57,1,21,Parda,Brasil,Masculino
57,58,1,21,Parda,Brasil,Feminino
58,59,1,23,Parda,Brasil,Feminino
59,60,1,23,Parda,Brasil,Feminino
60,61,1,24,Branca,Brasil,Masculino
61,62,1,25,Branca,Brasil,Feminino
62,63,1,26,Parda,Brasil,Feminino
63,64,1,26,Parda,Brasil,Feminino
64,65,1,27,Parda,Brasil,Feminino
65,66,1,29,Preta,Brasil,Masculino
66,67,1,32,Branca,Brasil,Masculino
67,68,1,34,Parda,Brasil,Masculino
68,69,1,36,Parda,Brasil,Masculino
69,70,1,36,Preta,Brasil,Masculino
70,71,1,36,Parda,Brasil,Masculino
71,72,1,37,Preta,Brasil,Feminino
72,73,1,37,Parda,Brasil,Masculino
73,74,1,37,Branca,Brasil,Masculino
74,75,1,44,Parda,Brasil,Feminino
75,76,1,44,Parda,Brasil,Masculino
76,77,1,21442,Branca,Brasil,Masculino
77,78,1,21442,Parda,Brasil,Feminino
78,79,1,22118,Branca,Brasil,Masculino
79,80,1,22837,Branca,Brasil,Feminino
80,81,1,25903,Parda,Brasil,Feminino
81,82,1,25949,Parda,Brasil,Feminino
82,83,1,31373,Branca,Brasil,Feminino
83,84,1,41690,Branca,Brasil,Feminino
84,85,1,41690,Branca,Brasil,Masculino
85,86,1,41690,Branca,Brasil,Masculino
86,87,1,62906,Branca,Brasil,Masculino
87,88,1,84854,Preta,Brasil,Masculino
88,89,1,84854,Branca,Brasil,Feminino
89,90,1,94331,Parda,Brasil,Masculino
90,91,1,94331,Branca,Brasil,Feminino
91,92,1,100763,Branca,Brasil,Masculino
92,93,1,100772,Branca,Brasil,Masculino
93,94,1,100775,Parda,Brasil,Feminino
94,95,1,100778,Branca,Brasil,Masculino
95,96,1,100778,Branca,Brasil,Masculino
96,97,1,100804,Branca,Brasil,Feminino
97,98,1,100920,Parda,Brasil,Masculino
98,99,1,101184,Parda,Brasil,Masculino
99,100,1,105652,Parda,Brasil,Masculino
100,101,1,106050,Preta,Brasil,Masculino
101,102,1,106050,Parda,Brasil,Feminino
102,103,1,106052,Parda,Brasil,Feminino
103,104,1,112770,Branca,Brasil,Masculino
104,105,1,112770,Preta,Brasil,Masculino
105,106,1,112846,Branca,Brasil,Masculino
106,107,1,112846,Branca,Brasil,Masculino
107,108,1,112846,Parda,Brasil,Masculino
108,109,1,114386,Parda,Brasil,Feminino
109,110,1,116550,Parda,Brasil,Feminino
110,111,1,116550,Parda,Brasil,Masculino
111,112,1,116550,Branca,Brasil,Feminino
112,113,1,116560,Preta,Brasil,Feminino
113,114,1,116560,Amarela,Brasil,Masculino
114,115,1,116560,Parda,Brasil,Masculino
115,116,1,116648,Branca,Brasil,Feminino
116,117,1,116648,Parda,Brasil,Feminino
117,118,1,116690,Parda,Brasil,Feminino
118,119,1,116690,Parda,Brasil,Masculino
119,120,1,116708,Parda,Brasil,Masculino
120,121,1,116736,Parda,Brasil,Feminino
121,122,1,117004,Preta,Brasil,Feminino
122,123,1,117004,Parda,Brasil,Feminino
