;cod_municipio;municipio;estado;regiao
0;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
1;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
2;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
3;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
4;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
5;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
6;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
7;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
8;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
9;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
10;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
11;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
12;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
13;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
14;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
15;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
16;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
17;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
18;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
19;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
20;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
21;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
22;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
23;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
24;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
25;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
26;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
27;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
28;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
29;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
30;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
31;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
32;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
33;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
34;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
35;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
36;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
37;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
38;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
39;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
40;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
41;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
42;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
43;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
44;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
45;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
46;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
47;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
48;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
49;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
50;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
51;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
52;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
53;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
54;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
55;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
56;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
57;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
58;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
59;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
60;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
61;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
62;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
63;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
64;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
65;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
66;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
67;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
68;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
69;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
70;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
71;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
72;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
73;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
74;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
75;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
76;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
77;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
78;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
79;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
80;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
81;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
82;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
83;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
84;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
85;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
86;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
87;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
88;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
89;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
90;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
91;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
92;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
93;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
94;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
95;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
96;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
97;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
98;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
99;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
100;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
101;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
102;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
103;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
104;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
105;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
106;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
107;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
108;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
109;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
110;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
111;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
112;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
113;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
114;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
115;5103403.0;Cuiabá (MT);Mato Grosso;Centro-Oeste
116;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
117;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
118;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
119;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
120;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
121;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
122;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
123;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
124;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
125;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
126;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
127;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
128;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
129;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
130;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
131;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
132;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
133;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
134;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
135;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
136;5107602.0;Rondonópolis (MT);Mato Grosso;Centro-Oeste
