,CODIGO_CURSO,NUM_ALUNOS_MATRICULADOS,NUM_ALUNOS_CONCLUINTES,RECURSOS
0,1.0,447.0,75.0,1.0
1,2.0,323.0,28.0,0.0
2,3.0,248.0,45.0,0.0
3,6.0,331.0,53.0,9.0
4,7.0,274.0,32.0,1.0
5,8.0,296.0,33.0,0.0
6,9.0,382.0,41.0,0.0
7,10.0,363.0,35.0,0.0
8,12.0,490.0,66.0,8.0
9,13.0,443.0,71.0,4.0
10,15.0,162.0,18.0,0.0
11,16.0,354.0,29.0,1.0
12,17.0,253.0,43.0,1.0
13,19.0,161.0,18.0,1.0
14,20.0,279.0,41.0,0.0
15,21.0,325.0,23.0,1.0
16,23.0,167.0,30.0,1.0
17,24.0,123.0,16.0,1.0
18,25.0,101.0,20.0,1.0
19,26.0,171.0,13.0,0.0
20,27.0,217.0,8.0,0.0
21,29.0,156.0,23.0,0.0
22,32.0,127.0,13.0,1.0
23,34.0,128.0,10.0,0.0
24,36.0,193.0,21.0,0.0
25,37.0,311.0,43.0,1.0
26,44.0,281.0,34.0,0.0
27,18354.0,70.0,5.0,0.0
28,21442.0,150.0,17.0,2.0
29,22118.0,80.0,9.0,1.0
30,22837.0,109.0,20.0,2.0
31,25902.0,58.0,5.0,2.0
32,25903.0,78.0,12.0,1.0
33,25949.0,151.0,34.0,4.0
34,26025.0,72.0,9.0,0.0
35,31373.0,57.0,13.0,1.0
36,41673.0,101.0,2.0,12.0
37,41687.0,0.0,0.0,1.0
38,41690.0,116.0,9.0,1.0
39,62906.0,262.0,22.0,5.0
40,62936.0,130.0,13.0,1.0
41,62940.0,153.0,14.0,1.0
42,84854.0,173.0,35.0,0.0
43,94331.0,79.0,11.0,2.0
44,100763.0,452.0,73.0,4.0
45,100768.0,182.0,14.0,0.0
46,100770.0,135.0,15.0,3.0
47,100772.0,311.0,25.0,1.0
48,100775.0,48.0,5.0,3.0
49,100776.0,59.0,3.0,3.0
50,100777.0,39.0,10.0,5.0
51,100778.0,453.0,52.0,1.0
52,100800.0,332.0,32.0,1.0
53,100802.0,388.0,33.0,1.0
54,100804.0,130.0,18.0,1.0
55,100920.0,89.0,7.0,3.0
56,100928.0,105.0,15.0,0.0
57,101054.0,81.0,19.0,2.0
58,101184.0,50.0,8.0,1.0
59,105652.0,180.0,0.0,2.0
60,106050.0,79.0,8.0,4.0
61,106052.0,163.0,27.0,2.0
62,112770.0,290.0,31.0,0.0
63,112846.0,105.0,6.0,0.0
64,114386.0,206.0,0.0,4.0
65,116550.0,154.0,12.0,0.0
66,116560.0,129.0,11.0,1.0
67,116648.0,144.0,24.0,3.0
68,116662.0,180.0,37.0,0.0
69,116690.0,129.0,9.0,2.0
70,116708.0,130.0,14.0,2.0
71,116720.0,256.0,19.0,1.0
72,116736.0,239.0,30.0,2.0
73,117004.0,404.0,54.0,3.0
74,118002.0,163.0,19.0,0.0
75,123007.0,155.0,6.0,1.0
76,123011.0,214.0,25.0,1.0
77,123013.0,151.0,8.0,0.0
78,123052.0,242.0,25.0,1.0
79,123055.0,265.0,55.0,1.0
80,123427.0,289.0,55.0,4.0
81,123620.0,345.0,40.0,1.0
82,1103426.0,146.0,27.0,1.0
83,1103701.0,88.0,11.0,1.0
84,1103708.0,120.0,9.0,0.0
85,1103709.0,63.0,7.0,0.0
86,1103710.0,289.0,36.0,0.0
87,1103711.0,181.0,12.0,0.0
88,1103712.0,186.0,15.0,0.0
89,1103742.0,70.0,4.0,0.0
90,1113617.0,208.0,0.0,4.0
91,1127343.0,345.0,36.0,1.0
92,1128077.0,244.0,14.0,0.0
93,1168551.0,203.0,24.0,0.0
94,1188880.0,109.0,14.0,0.0
95,1202779.0,10.0,2.0,0.0
96,1202829.0,3.0,0.0,0.0
