key,cod_ies
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,26
25,27
26,29
27,30
28,32
29,33
30,34
31,35
32,36
33,37
34,38
35,40
36,43
37,47
38,54
39,55
40,56
41,57
42,58
43,59
44,60
45,67
46,68
47,71
48,72
49,73
50,74
51,76
52,78
53,79
54,80
55,81
56,82
57,83
58,84
59,87
60,93
61,94
62,95
63,99
64,107
65,109
66,124
67,125
68,126
69,131
70,135
71,137
72,138
73,139
74,140
75,141
76,142
77,143
78,144
79,146
80,149
81,150
82,151
83,152
84,158
85,159
86,160
87,161
88,162
89,163
90,165
91,166
92,167
93,170
94,171
95,176
96,190
97,191
98,192
99,193
100,194
101,195
102,197
103,200
104,202
105,203
106,206
107,207
108,208
109,213
110,214
111,216
112,217
113,219
114,220
115,221
116,222
117,224
118,225
119,226
120,227
121,231
122,234
123,240
124,242
125,243
126,244
127,254
128,255
129,263
130,265
131,266
132,267
133,269
134,270
135,271
136,275
137,276
138,277
139,278
140,279
141,284
142,288
143,294
144,295
145,296
146,298
147,299
148,302
149,307
150,308
151,316
152,319
153,321
154,322
155,330
156,336
157,337
158,338
159,339
160,343
161,344
162,345
163,346
164,349
165,351
166,352
167,353
168,355
169,360
170,361
171,362
172,363
173,367
174,368
175,370
176,371
177,372
178,373
179,374
180,375
181,376
182,383
183,384
184,385
185,386
186,387
187,396
188,398
189,399
190,402
191,403
192,404
193,405
194,409
195,410
196,415
197,416
198,417
199,420
200,423
201,426
202,430
203,431
204,432
205,434
206,435
207,437
208,438
209,439
210,440
211,441
212,446
213,448
214,449
215,450
216,451
217,452
218,453
219,454
220,456
221,457
222,458
223,461
224,466
225,472
226,473
227,474
228,475
229,480
230,481
231,482
232,483
233,489
234,490
235,491
236,492
237,493
238,494
239,495
240,496
241,501
242,502
243,506
244,507
245,508
246,510
247,513
248,514
249,515
250,516
251,517
252,518
253,519
254,521
255,522
256,526
257,527
258,528
259,530
260,532
261,533
262,534
263,535
264,545
265,546
266,547
267,548
268,549
269,550
270,554
271,555
272,568
273,569
274,570
275,571
276,572
277,573
278,574
279,575
280,576
281,577
282,578
283,579
284,580
285,581
286,582
287,583
288,584
289,585
290,586
291,587
292,588
293,589
294,590
295,591
296,592
297,593
298,594
299,595
300,596
301,597
302,598
303,599
304,600
305,601
306,602
307,605
308,606
309,607
310,608
311,609
312,610
313,615
314,621
315,622
316,625
317,626
318,627
319,631
320,633
321,634
322,636
323,637
324,638
325,640
326,641
327,645
328,648
329,649
330,652
331,657
332,661
333,663
334,664
335,665
336,666
337,668
338,669
339,670
340,671
341,672
342,673
343,674
344,677
345,682
346,685
347,686
348,688
349,692
350,693
351,694
352,699
353,701
354,702
355,703
356,704
357,705
358,706
359,707
360,712
361,715
362,716
363,717
364,718
365,719
366,720
367,721
368,722
369,723
370,724
371,727
372,728
373,730
374,734
375,736
376,737
377,738
378,739
379,744
380,745
381,746
382,749
383,750
384,752
385,753
386,754
387,755
388,756
389,757
390,760
391,763
392,764
393,778
394,779
395,780
396,781
397,785
398,788
399,789
400,790
401,792
402,793
403,794
404,795
405,796
406,797
407,798
408,802
409,809
410,810
411,823
412,824
413,825
414,826
415,828
416,829
417,830
418,831
419,832
420,833
421,837
422,838
423,839
424,840
425,843
426,845
427,846
428,847
429,848
430,849
431,852
432,861
433,862
434,873
435,874
436,877
437,878
438,881
439,882
440,886
441,890
442,891
443,898
444,900
445,905
446,908
447,909
448,910
449,913
450,915
451,916
452,918
453,922
454,923
455,926
456,939
457,940
458,944
459,945
460,952
461,953
462,967
463,976
464,985
465,989
466,991
467,994
468,997
469,1012
470,1014
471,1019
472,1021
473,1027
474,1028
475,1030
476,1032
477,1036
478,1038
479,1041
480,1042
481,1043
482,1045
483,1046
484,1048
485,1049
486,1051
487,1053
488,1055
489,1058
490,1059
491,1060
492,1063
493,1064
494,1066
495,1067
496,1068
497,1070
498,1071
499,1075
500,1076
501,1077
502,1078
503,1079
504,1080
505,1081
506,1082
507,1084
508,1085
509,1087
510,1090
511,1092
512,1096
513,1100
514,1107
515,1113
516,1115
517,1118
518,1120
519,1122
520,1123
521,1124
522,1125
523,1126
524,1128
525,1129
526,1131
527,1136
528,1139
529,1141
530,1142
531,1143
532,1144
533,1149
534,1150
535,1151
536,1153
537,1155
538,1156
539,1157
540,1159
541,1160
542,1161
543,1162
544,1166
545,1170
