ID_ALUNO;CODIGO_IES;RACA;PAIS_ORIGEM;GENERO;IDADE
1;1;Parda;Brasil;Masculino;32
2;1;Parda;Brasil;Feminino;39
3;1;Parda;Brasil;Masculino;43
4;1;Parda;Brasil;Feminino;37
5;1;Parda;Brasil;Masculino;29
6;1;Branca;Brasil;Masculino;33
7;1;Parda;Brasil;Feminino;24
8;1;Parda;Brasil;Masculino;37
9;1;Parda;Brasil;Feminino;50
10;1;Preta;Brasil;Masculino;51
11;1;Branca;Brasil;Masculino;23
12;1;Branca;Brasil;Masculino;54
13;1;Branca;Brasil;Feminino;53
14;1;Parda;Brasil;Masculino;22
15;1;Preta;Brasil;Masculino;32
16;1;Parda;Brasil;Masculino;26
17;1;Parda;Brasil;Masculino;22
18;1;Parda;Brasil;Feminino;20
19;1;Preta;Brasil;Feminino;30
20;1;Branca;Brasil;Feminino;30
21;1;Branca;Brasil;Masculino;40
22;1;Preta;Brasil;Feminino;25
23;1;Parda;Brasil;Feminino;42
24;1;Parda;Brasil;Feminino;51
25;1;Parda;Brasil;Masculino;33
26;1;Parda;Brasil;Feminino;23
27;1;Branca;Brasil;Feminino;25
28;1;Parda;Brasil;Feminino;22
29;1;Branca;Brasil;Feminino;43
30;1;Parda;Brasil;Feminino;22
31;1;Parda;Brasil;Feminino;35
32;1;Parda;Brasil;Feminino;35
33;1;Parda;Brasil;Masculino;72
34;1;Branca;Brasil;Feminino;37
35;1;Indígena;Brasil;Feminino;44
36;1;Branca;Brasil;Feminino;39
37;1;Parda;Brasil;Feminino;21
38;1;Parda;Brasil;Feminino;20
39;1;Parda;Brasil;Feminino;32
40;1;Parda;Brasil;Masculino;38
41;1;Parda;Brasil;Masculino;31
42;1;Branca;Brasil;Feminino;21
43;1;Branca;Brasil;Feminino;29
44;1;Parda;Brasil;Masculino;37
45;1;Branca;Brasil;Masculino;21
46;1;Branca;Brasil;Masculino;23
47;1;Preta;Brasil;Feminino;20
48;1;Branca;Brasil;Feminino;22
49;1;Preta;Brasil;Feminino;39
50;1;Parda;Brasil;Feminino;33
51;1;Parda;Brasil;Masculino;29
52;1;Branca;Brasil;Masculino;33
53;1;Preta;Brasil;Masculino;28
54;1;Parda;Brasil;Feminino;27
55;1;Parda;Brasil;Feminino;24
56;1;Parda;Brasil;Masculino;27
57;1;Parda;Brasil;Feminino;24
58;1;Parda;Brasil;Masculino;23
59;1;Branca;Brasil;Masculino;44
60;1;Branca;Brasil;Masculino;23
61;1;Parda;Brasil;Feminino;36
62;1;Parda;Brasil;Masculino;41
63;1;Parda;Brasil;Feminino;35
64;1;Preta;Brasil;Masculino;29
65;1;Parda;Brasil;Masculino;69
66;1;Parda;Brasil;Feminino;29
67;1;Branca;Brasil;Feminino;72
68;1;Parda;Brasil;Feminino;27
69;1;Branca;Brasil;Masculino;41
70;1;Parda;Brasil;Feminino;38
71;1;Parda;Brasil;Masculino;27
72;1;Branca;Brasil;Feminino;24
73;1;Parda;Brasil;Feminino;21
74;1;Parda;Brasil;Masculino;25
75;1;Parda;Brasil;Feminino;21
76;1;Branca;Brasil;Masculino;24
77;1;Parda;Brasil;Masculino;24
78;1;Branca;Brasil;Feminino;46
79;1;Parda;Brasil;Feminino;53
80;1;Preta;Brasil;Masculino;43
81;1;Preta;Brasil;Masculino;26
82;1;Parda;Brasil;Feminino;24
83;1;Branca;Brasil;Masculino;34
84;1;Parda;Brasil;Masculino;33
85;1;Parda;Brasil;Masculino;32
86;1;Parda;Brasil;Feminino;26
87;1;Parda;Brasil;Feminino;20
88;1;Parda;Brasil;Feminino;44
89;1;Parda;Brasil;Feminino;23
90;1;Branca;Brasil;Masculino;50
91;1;Branca;Brasil;Masculino;39
92;1;Branca;Brasil;Feminino;53
93;1;Parda;Brasil;Feminino;38
94;1;Preta;Brasil;Masculino;52
95;1;Parda;Brasil;Masculino;40
96;1;Parda;Brasil;Feminino;39
97;1;Branca;Brasil;Feminino;38
98;1;Parda;Brasil;Feminino;22
99;1;Parda;Brasil;Feminino;45
100;1;Parda;Brasil;Masculino;26
101;1;Preta;Brasil;Masculino;22
102;1;Branca;Brasil;Masculino;39
103;1;Preta;Brasil;Masculino;43
104;1;Parda;Brasil;Masculino;45
105;1;Parda;Brasil;Masculino;49
106;1;Parda;Brasil;Masculino;23
107;1;Preta;Brasil;Masculino;26
108;1;Parda;Brasil;Masculino;23
109;1;Parda;Brasil;Masculino;27
110;1;Parda;Brasil;Masculino;21
111;1;Parda;Brasil;Feminino;48
112;1;Branca;Brasil;Feminino;27
113;1;Preta;Brasil;Feminino;22
114;1;Parda;Brasil;Masculino;42
115;1;Branca;Brasil;Masculino;21
116;1;Parda;Brasil;Feminino;21
117;1;Parda;Brasil;Masculino;20
118;1;Branca;Brasil;Masculino;29
119;1;Parda;Brasil;Feminino;33
120;1;Parda;Brasil;Masculino;32
121;1;Branca;Brasil;Masculino;25
122;1;Branca;Brasil;Feminino;48
123;1;Parda;Brasil;Feminino;62
124;1;Preta;Brasil;Feminino;36
125;1;Parda;Brasil;Feminino;27
126;1;Parda;Brasil;Feminino;24
127;1;Branca;Brasil;Masculino;22
128;1;Branca;Brasil;Feminino;27
129;1;Parda;Brasil;Feminino;26
130;1;Branca;Brasil;Feminino;31
131;1;Branca;Brasil;Masculino;28
132;1;Branca;Brasil;Masculino;22
133;1;Branca;Brasil;Masculino;31
134;1;Parda;Brasil;Feminino;32
135;1;Branca;Brasil;Masculino;25
136;1;Parda;Brasil;Masculino;21
137;1;Parda;Brasil;Masculino;37
138;1;Preta;Brasil;Masculino;33
139;1;Branca;Brasil;Feminino;22
140;1;Preta;Brasil;Masculino;51
141;1;Parda;Brasil;Masculino;46
142;1;Parda;Brasil;Masculino;24
143;1;Branca;Brasil;Feminino;25
144;1;Parda;Brasil;Feminino;23
145;1;Branca;Brasil;Masculino;20
146;1;Branca;Brasil;Masculino;28
147;1;Amarela;Brasil;Masculino;37
148;1;Parda;Brasil;Feminino;24
149;1;Preta;Brasil;Masculino;24
150;1;Branca;Brasil;Masculino;25
151;1;Parda;Brasil;Feminino;21
152;1;Branca;Brasil;Masculino;33
153;1;Branca;Brasil;Masculino;24
154;1;Parda;Brasil;Feminino;37
155;1;Branca;Brasil;Masculino;21
156;1;Branca;Brasil;Masculino;22
157;1;Parda;Brasil;Masculino;25
158;1;Branca;Brasil;Feminino;23
159;1;Branca;Brasil;Masculino;29
160;1;Parda;Brasil;Feminino;43
161;1;Parda;Brasil;Masculino;28
162;1;Parda;Brasil;Masculino;37
163;1;Parda;Brasil;Masculino;63
164;1;Parda;Brasil;Masculino;35
165;1;Preta;Brasil;Masculino;25
166;1;Parda;Brasil;Feminino;22
167;1;Parda;Brasil;Feminino;24
168;1;Branca;Brasil;Masculino;67
169;1;Preta;Brasil;Masculino;24
170;1;Parda;Brasil;Masculino;24
171;1;Branca;Brasil;Masculino;22
172;1;Branca;Brasil;Masculino;22
173;1;Parda;Brasil;Masculino;22
174;1;Parda;Brasil;Feminino;39
175;1;Parda;Brasil;Feminino;23
176;1;Parda;Brasil;Feminino;27
177;1;Branca;Brasil;Masculino;39
178;1;Parda;Brasil;Masculino;35
179;1;Branca;Brasil;Feminino;55
180;1;Preta;Brasil;Masculino;30
181;1;Parda;Brasil;Masculino;47
182;1;Preta;Brasil;Feminino;45
183;1;Amarela;Brasil;Masculino;51
184;1;Parda;Brasil;Feminino;39
185;1;Parda;Brasil;Masculino;42
186;1;Branca;Brasil;Feminino;24
187;1;Parda;Brasil;Feminino;35
188;1;Branca;Brasil;Masculino;21
189;1;Parda;Brasil;Feminino;35
190;1;Parda;Brasil;Masculino;26
191;1;Parda;Brasil;Masculino;49
192;1;Parda;Brasil;Masculino;54
193;1;Branca;Brasil;Feminino;37
194;1;Amarela;Brasil;Feminino;35
195;1;Branca;Brasil;Masculino;54
196;1;Parda;Brasil;Feminino;27
197;1;Preta;Brasil;Feminino;40
198;1;Parda;Brasil;Feminino;42
199;1;Parda;Brasil;Masculino;46
200;1;Parda;Brasil;Masculino;42
201;1;Branca;Brasil;Feminino;24
202;1;Parda;Brasil;Masculino;21
203;1;Branca;Brasil;Feminino;20
204;1;Branca;Brasil;Feminino;20
205;1;Parda;Brasil;Masculino;35
206;1;Branca;Brasil;Masculino;28
207;1;Parda;Brasil;Masculino;32
208;1;Parda;Brasil;Masculino;46
209;1;Parda;Brasil;Masculino;34
210;1;Preta;Brasil;Masculino;55
211;1;Parda;Brasil;Masculino;26
212;1;Branca;Brasil;Masculino;22
213;1;Branca;Brasil;Masculino;23
214;1;Preta;Brasil;Masculino;40
215;1;Parda;Brasil;Feminino;45
216;1;Preta;Brasil;Feminino;35
217;1;Parda;Brasil;Feminino;32
218;1;Parda;Brasil;Masculino;26
219;1;Branca;Brasil;Masculino;35
220;1;Branca;Brasil;Feminino;60
221;1;Parda;Brasil;Feminino;21
222;1;Parda;Brasil;Feminino;56
223;1;Preta;Brasil;Masculino;23
224;1;Parda;Brasil;Masculino;38
225;1;Parda;Brasil;Masculino;29
226;1;Parda;Brasil;Masculino;25
227;1;Parda;Brasil;Feminino;20
228;1;Parda;Brasil;Feminino;22
229;1;Parda;Brasil;Masculino;22
230;1;Parda;Brasil;Masculino;22
231;1;Parda;Brasil;Feminino;26
232;1;Preta;Brasil;Masculino;42
233;1;Branca;Brasil;Masculino;22
234;1;Parda;Brasil;Feminino;25
235;1;Branca;Brasil;Masculino;56
